orderdate,stockdate,ordernumber,productkey,customerkey,territorykey,orderlineitem,orderquantity
8/4/2016,5/5/2003,SO52035,223,11300,6,1,2
8/4/2016,7/2/2003,SO52035,540,11300,6,2,1
8/5/2016,5/27/2003,SO52083,536,11300,6,1,3
8/5/2016,7/8/2003,SO52083,480,11300,6,2,2
9/5/2016,7/14/2003,SO53835,529,11300,6,1,2
9/5/2016,7/3/2003,SO53835,487,11300,6,3,1
9/5/2016,6/7/2003,SO53835,540,11300,6,2,1
9/15/2016,8/26/2003,SO54388,539,11300,6,1,2
9/15/2016,6/30/2003,SO54388,235,11300,6,2,1
9/20/2016,7/20/2003,SO54662,484,11300,6,1,2
10/22/2016,7/2/2003,SO56487,220,11300,6,1,1
11/22/2016,8/10/2003,SO58365,464,11300,6,4,2
11/22/2016,10/27/2003,SO58365,529,11300,6,2,2
11/22/2016,11/6/2003,SO58365,539,11300,6,1,2
11/22/2016,10/5/2003,SO58365,220,11300,6,3,1
11/22/2016,11/7/2003,SO58370,480,11300,6,3,2
11/22/2016,9/5/2003,SO58370,529,11300,6,2,2
11/22/2016,8/3/2003,SO58370,540,11300,6,1,1
12/16/2016,9/13/2003,SO60130,223,11300,6,1,2
1/7/2017,11/3/2003,SO61611,529,11300,6,2,2
1/7/2017,10/10/2003,SO61611,538,11300,6,1,2
1/7/2017,10/6/2003,SO61611,215,11300,6,3,1
1/28/2017,11/19/2003,SO62876,220,11300,6,1,1
1/28/2017,10/29/2003,SO62896,528,11300,6,1,2
1/28/2017,12/16/2003,SO62896,535,11300,6,2,2
1/28/2017,1/1/2004,SO62896,471,11300,6,5,1
1/28/2017,11/28/2003,SO62896,477,11300,6,3,1
1/28/2017,11/7/2003,SO62896,478,11300,6,4,1
2/1/2017,12/2/2003,SO63307,528,11300,6,2,2
2/1/2017,11/19/2003,SO63307,535,11300,6,1,1
2/8/2017,12/16/2003,SO63770,480,11300,6,1,2
2/8/2017,12/5/2003,SO63771,462,11300,6,2,2
2/8/2017,11/20/2003,SO63771,529,11300,6,1,2
2/15/2017,1/27/2004,SO64195,538,11300,6,1,2
2/18/2017,1/2/2004,SO64397,480,11300,6,3,2
2/18/2017,11/23/2003,SO64397,529,11300,6,2,1
2/18/2017,11/3/2003,SO64397,540,11300,6,1,1
2/18/2017,10/21/2003,SO64417,477,11300,6,4,2
2/18/2017,12/29/2003,SO64417,478,11300,6,3,2
2/18/2017,10/27/2003,SO64417,528,11300,6,2,2
2/18/2017,12/27/2003,SO64417,487,11300,6,5,1
2/18/2017,12/2/2003,SO64417,537,11300,6,1,1
3/11/2017,1/12/2004,SO65975,477,11300,6,1,2
3/11/2017,1/12/2004,SO65975,488,11300,6,2,1
3/24/2017,1/3/2004,SO66785,529,11300,6,1,1
3/30/2017,12/4/2003,SO67164,480,11300,6,3,3
3/30/2017,1/8/2004,SO67164,477,11300,6,1,2
3/30/2017,1/8/2004,SO67164,478,11300,6,2,2
4/28/2017,3/31/2004,SO69182,530,11300,6,1,2
4/28/2017,2/7/2004,SO69182,480,11300,6,2,1
4/28/2017,2/6/2004,SO69182,486,11300,6,3,1
5/3/2017,1/28/2004,SO69740,530,11300,6,2,2
5/3/2017,1/31/2004,SO69740,487,11300,6,3,1
5/3/2017,1/19/2004,SO69740,541,11300,6,1,1
5/17/2017,2/11/2004,SO70767,466,11300,6,1,2
5/17/2017,4/2/2004,SO70767,214,11300,6,2,1
6/18/2017,2/27/2004,SO73197,530,11300,6,2,3
6/18/2017,4/15/2004,SO73197,484,11300,6,3,2
6/18/2017,4/2/2004,SO73197,541,11300,6,1,2
6/21/2017,6/4/2004,SO73437,477,11300,6,4,2
6/21/2017,4/24/2004,SO73437,478,11300,6,3,2
6/21/2017,6/1/2004,SO73437,528,11300,6,1,2
6/21/2017,3/27/2004,SO73437,535,11300,6,2,2
6/21/2017,3/12/2004,SO73437,489,11300,6,5,1
